Rk,Player,Pos,Squad,Age,Born,Nineties,CrdY,CrdR,2CrdY,FoulsPer90,Fld,Off,Crs,Int,TklW,OG,Matches,-9999,Position
495,Sead Kolašinac,DF,Bosnia–Herz,32,1993,3.7,0.0,0.0,0.0,1.62,1.08,0.0,2.43,0.54,1.62,0.0,Matches,3935e52e,DF
496,Ghislain Konan,DF,Côte d'Ivoire,30,1995,3.0,0.0,0.0,0.0,0.0,0.33,0.0,2.67,0.0,1.0,0.0,Matches,6b2c894b,DF
498,Ismaël Koné,MF,Canada,23,2002,1.6,0.0,0.0,0.0,0.63,1.88,0.0,1.88,1.88,1.25,0.0,Matches,e0220b70,MF
499,Manu Koné,MF,France,25,2001,4.3,0.23,0.0,0.0,1.4,1.63,0.0,0.23,0.7,1.16,0.0,Matches,86574238,MF
500,Ezri Konsa,DF,England,28,1997,7.2,0.0,0.0,0.0,1.11,1.53,0.0,0.42,1.11,0.69,0.0,Matches,0313a347,DF
501,Teun Koopmeiners,DFMF,Netherlands,28,1998,1.4,0.0,0.0,0.0,2.14,0.0,0.0,3.57,0.71,0.71,0.0,Matches,a26fb8aa,DF
502,Odilon Kossounou,DF,Côte d'Ivoire,25,2001,3.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,1.0,1.0,0.0,Matches,1f3afdcb,DF
503,Kalidou Koulibaly,DF,Senegal,34,1991,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.56,0.0,Matches,da974c7b,DF
504,Jules Koundé,DF,France,27,1998,6.7,0.0,0.0,0.0,0.9,0.75,0.15,1.79,0.45,1.19,0.0,Matches,4d1666ff,DF
505,Mateo Kovačić,MF,Croatia,32,1994,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.67,1.0,0.0,Matches,79c0821a,MF
508,Ladislav Krejčí,DF,Czechia,27,1999,3.0,0.33,0.0,0.0,2.0,0.67,0.0,0.67,0.33,1.0,0.0,Matches,5b5c2228,DF
512,Maxence Lacroix,DF,France,26,2000,2.7,0.0,0.0,0.0,1.85,0.0,0.37,0.0,1.11,0.74,0.0,Matches,277c49ed,DF
513,Gustaf Lagerbielke,DF,Sweden,26,2000,4.0,0.0,0.0,0.0,0.25,0.75,0.25,0.25,1.25,1.25,0.0,Matches,9e39fa2d,DF
514,Konrad Laimer,MFDF,Austria,29,1997,4.0,0.25,0.0,0.0,1.5,0.75,0.75,1.0,0.5,1.5,0.0,Matches,c1b7847c,MF
515,Ali Lajami,DF,Saudi Arabia,30,1996,1.7,0.0,0.0,0.0,0.0,1.18,0.0,0.0,1.76,1.18,0.0,Matches,46f7ab4f,DF
519,Aymeric Laporte,DF,Spain,32,1994,8.1,0.12,0.0,0.0,0.62,0.49,0.0,0.12,1.73,0.37,0.0,Matches,119b9a8e,DF
521,Richie Laryea,DF,Canada,31,1995,4.8,0.21,0.0,0.0,1.67,2.92,0.21,0.42,0.42,1.88,0.0,Matches,276fdbe4,DF
522,Mohanad Lasheen,MF,Egypt,30,1996,4.0,0.5,0.0,0.0,1.25,0.75,0.0,0.25,2.0,2.75,0.0,Matches,8c041c7d,MF
523,Issa Laye,MFDF,Qatar,28,1997,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.33,0.33,0.0,Matches,c078667a,MF
524,Rafael Leão,MF,Portugal,27,1999,1.8,0.0,0.0,0.0,0.56,1.11,0.0,3.89,1.11,0.0,0.0,Matches,20730eae,MF
526,Jefferson Lerma,MF,Colombia,31,1994,4.6,0.22,0.0,0.0,1.3,1.09,0.0,0.22,1.09,0.22,0.0,Matches,9b5ce51a,MF
528,Philipp Lienhart,DF,Austria,29,1996,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,Matches,302527b2,DF
529,Victor Lindelöf,DFMF,Sweden,31,1994,4.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0,0.25,0.0,Matches,f5deef4c,DF
530,Erik Lira,MF,Mexico,26,2000,3.8,0.0,0.0,0.0,0.79,1.05,0.0,0.53,0.53,0.79,0.0,Matches,7b2c24ed,MF
533,Marcos Llorente,DF,Spain,31,1995,2.1,0.0,0.0,0.0,0.95,0.48,0.0,1.9,0.48,2.86,0.0,Matches,02c15616,DF
537,Sidny Lopes Cabral,DF,Cabo Verde,23,2002,3.2,0.63,0.0,0.0,0.63,2.81,0.0,3.75,1.25,0.63,0.0,Matches,20700569,DF
539,Derrick Luckassen,DF,Ghana,30,1995,2.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.5,0.0,Matches,30a09cb5,DF
540,Jhon Lucumí,DF,Colombia,27,1998,5.3,0.19,0.0,0.0,0.94,0.0,0.0,0.0,0.94,0.38,0.0,Matches,80490d7f,DF
541,José Luis Rodríguez,MFFW,Panama,27,1998,2.6,0.0,0.0,0.0,1.54,0.77,0.0,6.54,0.0,1.15,0.0,Matches,b333b014,MF
543,Dodi Lukebakio,MF,Belgium,28,1997,1.8,0.0,0.0,0.0,0.56,1.11,0.0,3.33,0.0,0.56,0.0,Matches,0c61c77c,MF
546,Alexis Mac Allister,MF,Argentina,27,1998,8.3,0.12,0.0,0.0,1.08,1.45,0.0,0.24,1.08,1.45,0.0,Matches,83d074ff,MF
547,Deiver Machado,DF,Colombia,32,1993,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,Matches,b3f8bdef,DF
549,Assim Madibo,MF,Qatar,29,1996,1.5,0.0,0.67,0.0,1.33,0.67,0.0,0.0,2.67,0.67,0.0,Matches,2b1d2ada,MF
550,Noni Madueke,MF,England,24,2002,3.2,0.0,0.0,0.0,0.63,0.94,0.31,6.56,0.63,1.25,0.0,Matches,bf34eebd,MF
551,Daizen Maeda,MF,Japan,28,1997,2.7,0.0,0.0,0.0,0.74,0.37,0.37,1.11,0.74,1.11,0.0,Matches,395451fc,MF
552,Gabriel Magalhães,DF,Brazil,28,1997,5.0,0.0,0.0,0.0,0.2,0.6,0.0,0.6,0.8,0.4,0.0,Matches,67ac5bb8,DF
555,Riyad Mahrez,MF,Algeria,35,1991,2.9,0.0,0.0,0.0,0.34,2.41,0.34,3.45,0.34,0.69,0.0,Matches,892d5bb1,MF
563,Aïssa Mandi,DF,Algeria,34,1991,4.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,1.0,0.75,0.0,Matches,fbd6378b,DF
564,Sadio Mané,MFFW,Senegal,34,1992,4.0,0.0,0.0,0.0,1.0,2.5,0.75,3.25,0.75,0.5,0.0,Matches,c691bfe2,MF
565,Juan Manuel Sanabria,DF,Uruguay,26,2000,2.3,0.43,0.0,0.0,0.43,0.0,0.43,6.52,0.43,1.74,0.0,Matches,f1d74479,DF
566,Johan Manzambi,MFFW,Switzerland,20,2005,2.2,0.0,0.0,0.0,1.36,1.36,0.45,1.36,0.0,0.0,0.0,Matches,8fcf0e12,MF
567,Mahmoud Al-Mardi,MF,Jordan,32,1993,1.4,0.0,0.0,0.0,2.86,1.43,0.0,5.0,0.0,0.71,0.0,Matches,1eedc1ea,MF
570,Marquinhos,DF,Brazil,32,1994,5.0,0.0,0.0,0.0,0.0,0.4,0.2,0.2,0.6,0.4,0.0,Matches,d5f2f82b,DF
571,Gabriel Martinelli,MF,Brazil,24,2001,1.6,0.0,0.0,0.0,2.5,1.88,0.0,1.25,1.25,0.0,0.0,Matches,48a5a5d6,MF
573,Cristian Martínez,MFFW,Panama,29,1997,2.7,0.0,0.0,0.0,1.85,1.85,0.37,4.44,0.37,1.48,0.0,Matches,fdb15495,MF
576,Lisandro Martínez,DF,Argentina,28,1998,6.9,0.29,0.0,0.0,1.01,0.58,0.0,0.29,0.87,1.01,0.0,Matches,bac46a10,DF
577,Thapelo Maseko,MFFW,South Africa,22,2003,2.7,0.0,0.0,0.0,1.48,3.7,0.0,0.74,0.74,0.37,0.0,Matches,498d45f7,MF
579,Arthur Masuaku,DF,Congo DR,32,1993,3.5,0.0,0.0,0.0,0.0,1.14,0.0,3.43,0.0,1.43,0.0,Matches,57df7a11,DF
583,Mauricio,MF,Paraguay,25,2001,1.9,0.0,0.0,0.0,1.58,1.58,0.0,5.79,0.53,3.16,0.0,Matches,bf4cbc22,MF
585,Ibrahim Maza,MFFW,Algeria,20,2005,3.9,0.0,0.0,0.0,0.26,1.28,0.0,0.26,0.0,0.51,0.0,Matches,89b3bc5e,MF
586,Noussair Mazraoui,DF,Morocco,28,1997,5.3,0.0,0.0,0.0,0.75,1.13,0.0,0.57,0.38,1.51,0.0,Matches,b74277a0,DF
588,Thalente Mbatha,MF,South Africa,26,2000,2.9,0.34,0.0,0.0,1.38,0.0,0.0,1.38,1.72,0.69,0.0,Matches,f6272be9,MF
589,Ibrahim Mbaye,MF,Senegal,18,2008,1.7,0.0,0.0,0.0,0.0,1.18,0.0,5.29,0.59,0.0,0.0,Matches,201b4ee4,MF
590,Chancel Mbemba,DF,Congo DR,31,1994,4.0,0.25,0.0,0.0,0.25,0.75,0.0,1.0,0.25,0.75,0.0,Matches,e76cb9cc,DF
591,Mbekezeli Mbokazi,DF,South Africa,20,2005,4.0,0.0,0.0,0.0,0.75,1.25,0.25,0.75,1.0,1.25,0.0,Matches,13398d42,DF
592,Nathanaël Mbuku,MFFW,Congo DR,24,2002,1.6,0.63,0.0,0.0,2.5,5.0,0.0,8.75,0.0,1.88,0.0,Matches,46750e9c,MF
593,Callum McCowatt,MF,New Zealand,27,1999,1.8,0.56,0.0,0.0,2.22,0.56,0.0,1.67,0.56,0.56,0.0,Matches,3fc42049,MF
594,John McGinn,MF,Scotland,31,1994,2.9,0.0,0.0,0.0,0.69,3.79,0.0,3.45,0.0,0.0,0.0,Matches,90f91999,MF
595,Scott McKenna,DF,Scotland,29,1996,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,4e5a4cbc,DF
596,Weston McKennie,MF,USA,27,1998,4.9,0.2,0.0,0.0,1.63,0.41,0.0,2.24,1.43,1.43,0.0,Matches,01c3aff5,MF
597,Mark McKenzie,DF,USA,27,1999,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,Matches,a5f5d094,DF
598,Kenny McLean,MF,Scotland,34,1992,1.3,0.77,0.0,0.0,0.77,0.77,0.0,1.54,1.54,0.77,0.0,Matches,471f16b3,MF
599,Scott McTominay,MF,Scotland,29,1996,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.67,0.0,Matches,d93c2511,MF
600,Brandon Mechele,DF,Belgium,33,1993,6.3,0.16,0.0,0.0,1.43,0.32,0.0,0.0,0.63,0.63,0.0,Matches,0a6dbbf7,DF
601,Facundo Medina,DF,Argentina,27,1999,3.4,0.29,0.0,0.0,0.88,0.59,0.29,0.29,0.59,2.06,0.0,Matches,6f5ec8bb,DF
603,Hannibal Mejbri,MF,Tunisia,23,2003,3.0,0.0,0.0,0.0,1.33,5.0,0.0,3.33,0.33,1.33,0.0,Matches,ca22ccb0,MF
604,Amar Memić,MF,Bosnia–Herz,25,2001,2.5,0.0,0.0,0.0,1.6,1.2,0.0,2.0,0.8,0.8,0.0,Matches,918c187c,MF
608,Nuno Mendes,DF,Portugal,23,2002,4.4,0.0,0.0,0.0,0.68,2.73,0.23,4.32,0.0,1.36,0.0,Matches,f20e4cc9,DF
611,Gideon Mensah,DF,Ghana,27,1998,4.0,0.0,0.0,0.0,0.5,0.75,0.0,0.75,2.0,1.25,0.0,Matches,9bdd8118,DF
612,Mikel Merino,MF,Spain,29,1996,2.2,0.0,0.0,0.0,2.73,3.64,0.0,0.45,1.36,0.91,0.0,Matches,d080ed5e,MF
614,Connor Metcalfe,MF,Australia,26,1999,3.5,0.0,0.0,0.0,0.29,0.0,0.0,2.29,0.57,1.43,0.0,Matches,73ce4d7d,MF
615,Thomas Meunier,DF,Belgium,34,1991,2.1,0.0,0.0,0.0,4.29,0.0,0.0,3.33,0.95,0.95,0.0,Matches,e162b013,DF
616,Liam Millar,MF,Canada,26,1999,1.8,0.56,0.0,0.0,1.67,0.56,0.0,5.56,0.0,2.22,0.0,Matches,983515f8,MF
617,Kim Min-jae,DF,Korea Republic,29,1996,2.7,0.0,0.0,0.0,0.74,0.37,0.0,0.0,0.74,0.74,0.0,Matches,e0f8151c,DF
620,Aubrey Modiba,DF,South Africa,30,1995,3.8,0.26,0.0,0.0,1.05,1.58,0.53,2.89,1.05,1.32,0.0,Matches,bb1f97f2,DF
621,Luka Modrić,MF,Croatia,40,1985,3.5,0.29,0.0,0.0,1.14,0.86,0.0,3.14,0.0,0.86,0.0,Matches,6025fab1,MF
622,Relebohile Mofokeng,MF,South Africa,21,2004,1.9,0.0,0.0,0.0,1.58,1.05,0.0,1.05,0.0,1.05,0.0,Matches,25c3fb97,MF
624,Milad Mohammadi,DF,IR Iran,32,1993,2.3,0.0,0.0,0.0,0.43,0.43,0.87,1.3,0.87,1.74,0.0,Matches,740a0e28,DF
625,Mohammad Mohebi,MF,IR Iran,27,1998,2.7,0.0,0.0,0.0,0.37,0.37,0.0,0.37,0.37,0.37,0.0,Matches,7b6b53c3,MF
626,Johan Mojica,DF,Colombia,33,1992,4.3,0.23,0.0,0.0,0.23,1.63,0.23,2.56,0.7,0.7,0.0,Matches,608f2092,DF
627,Teboho Mokoena,MF,South Africa,29,1997,3.0,0.67,0.0,0.0,1.0,2.0,0.0,1.67,1.67,1.0,0.0,Matches,00029b1e,MF
628,Nahuel Molina,DF,Argentina,28,1998,5.9,0.0,0.0,0.0,0.51,0.0,0.17,0.85,1.36,0.51,0.0,Matches,23610943,DF
629,Jamiro Monteiro,MF,Cabo Verde,32,1993,3.1,0.0,0.0,0.0,1.29,0.65,0.0,2.26,1.29,1.29,0.0,Matches,d384bddd,MF
630,César Montes,DF,Mexico,29,1997,3.5,0.0,0.29,0.0,1.14,0.86,0.0,0.57,0.57,0.29,0.0,Matches,28e957d7,DF
631,Gonzalo Montiel,DF,Argentina,29,1997,2.1,0.48,0.0,0.0,1.9,0.95,0.0,1.9,1.43,1.43,0.0,Matches,374d5158,DF
633,Gilberto Mora,MF,Mexico,17,2008,2.4,0.0,0.0,0.0,1.25,1.25,0.0,1.67,0.83,0.83,0.0,Matches,69c9ffe8,MF
635,Steven Moreira,DF,Cabo Verde,31,1994,3.3,0.0,0.0,0.0,0.0,0.61,0.0,1.21,0.61,0.91,0.0,Matches,f10983ae,DF
639,Samuel Moutoussamy,MF,Congo DR,29,1996,3.7,0.27,0.0,0.0,2.16,0.27,0.0,0.27,0.27,2.16,0.0,Matches,af0c835b,MF
640,Akmal Mozgovoy,MF,Uzbekistan,27,1999,2.4,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.83,0.0,0.0,Matches,114cb95b,MF
642,Khuliso Mudau,DF,South Africa,31,1995,4.0,0.0,0.0,0.0,1.0,2.5,0.25,0.75,2.75,2.0,0.0,Matches,75388f92,DF
643,Tarik Muharemovic,DF,Bosnia–Herz,23,2003,2.9,0.0,0.34,0.0,1.72,0.69,0.0,0.34,2.76,0.34,0.0,Matches,426dda23,DF
644,Miro Muheim,DFMF,Switzerland,28,1998,1.0,1.0,0.0,0.0,1.0,3.0,0.0,2.0,2.0,1.0,0.0,Matches,844c6a91,DF
645,Ngal'Ayel Mukau,MF,Congo DR,21,2004,2.2,0.0,0.0,0.0,1.36,1.82,0.45,0.0,1.36,0.91,0.0,Matches,bb461b8a,MF
646,Mert Müldür,DF,Türkiye,27,1999,1.1,0.0,0.0,0.0,0.91,1.82,0.0,5.45,0.91,1.82,0.0,Matches,1295552e,DF
647,Daniel Muñoz,DF,Colombia,30,1996,4.4,0.0,0.0,0.0,2.05,0.23,0.68,1.82,1.59,0.68,0.0,Matches,778ef829,DF
649,Jamal Musiala,MF,Germany,23,2003,3.0,0.33,0.0,0.0,1.67,3.67,0.0,1.67,0.33,1.67,0.0,Matches,2c0558b8,MF
651,Phillipp Mwene,DF,Austria,32,1994,1.6,0.0,0.0,0.0,0.63,0.63,0.0,3.75,1.88,0.0,0.0,Matches,2ff76adc,DF
652,David Møller Wolfe,DF,Norway,24,2002,4.8,0.0,0.0,0.0,1.46,0.42,0.0,1.04,0.63,0.63,0.0,Matches,9affc5f2,DF
654,Keito Nakamura,MF,Japan,25,2000,3.4,0.0,0.0,0.0,0.88,0.29,0.29,2.65,0.29,0.88,0.0,Matches,d97af612,MF
655,Abdallah Nasib,DF,Jordan,32,1994,2.9,0.0,0.0,0.0,0.34,0.34,0.0,0.0,2.41,1.03,0.0,Matches,aaab3072,DF
656,Sherzod Nasrullaev,DFMF,Uzbekistan,27,1998,2.0,0.5,0.0,0.0,1.5,1.0,0.0,1.5,1.0,1.0,0.0,Matches,aeb0c7f7,DF
659,Dan Ndoye,MFFW,Switzerland,25,2000,4.5,0.0,0.0,0.0,1.11,3.56,0.89,2.44,0.89,1.11,0.0,Matches,8e697a8f,MF
661,Ali Nemati,DF,IR Iran,30,1996,3.0,0.33,0.0,0.0,1.0,0.0,0.33,0.67,0.0,0.67,0.0,Matches,19a221f7,DF
663,Pedro Neto,MF,Portugal,26,2000,3.9,0.0,0.0,0.0,1.03,1.03,0.0,3.33,0.0,0.51,0.0,Matches,7ba2eaa9,MF
665,João Neves,MF,Portugal,21,2004,4.3,0.0,0.0,0.0,0.23,0.93,0.0,0.47,0.93,1.63,0.0,Matches,c2a15a27,MF
668,Nathan Ngoy,DF,Belgium,23,2003,3.7,0.0,0.27,0.0,1.62,0.27,0.0,0.0,1.89,1.08,0.0,Matches,eb7abf2e,DF
669,Moussa Niakhaté,DF,Senegal,30,1996,4.3,0.0,0.0,0.0,0.7,1.4,0.0,0.47,0.93,0.23,0.0,Matches,00242715,DF
671,Felix Nmecha,MF,Germany,25,2000,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.67,0.67,3.0,0.0,Matches,091c86e2,MF
674,Ernest Nuamah,MF,Ghana,22,2003,1.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,Matches,234a703c,MF
678,Benjamin Nygren,MF,Sweden,24,2001,1.4,0.0,0.0,0.0,2.14,0.0,0.0,3.57,0.0,0.0,0.0,Matches,d6ebf67f,MF
680,Aiden O'Neill,MF,Australia,27,1998,4.0,0.0,0.0,0.0,0.5,2.0,0.0,2.5,0.5,0.5,0.0,Matches,c7aee75b,MF
681,Nico O'Reilly,DF,England,21,2005,5.1,0.2,0.0,0.0,1.18,0.78,0.0,0.78,0.98,0.59,0.0,Matches,91ca4a16,DF
683,Armando Obispo,DF,Curaçao,27,1999,3.0,0.0,0.0,0.0,0.33,0.0,0.33,0.0,2.33,0.33,0.0,Matches,2ffa6348,DF
688,Ime Okon,DF,South Africa,22,2004,4.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.25,0.5,0.0,Matches,3cb58055,DF
689,Paul Okon-Engstler,MF,Australia,21,2005,2.2,0.0,0.0,0.0,1.36,0.91,0.0,0.91,2.27,0.91,0.0,Matches,ecd6464a,MF
690,Ben Old,MF,New Zealand,23,2002,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Matches,e14e818c,MF
691,Michael Olise,MF,France,24,2001,7.2,0.14,0.0,0.0,0.69,2.22,0.0,3.06,0.42,1.11,0.0,Matches,c4486bac,MF
692,Mathías Olivera,DF,Uruguay,28,1997,3.0,0.33,0.0,0.0,1.0,0.0,0.0,1.67,0.67,1.33,0.0,Matches,41c12f75,DF
693,Dani Olmo,MF,Spain,28,1998,5.5,0.0,0.0,0.0,1.09,1.82,0.0,0.18,0.18,0.91,0.0,Matches,ae44e8e2,MF
695,Ali Olwan,MF,Jordan,26,2000,3.0,0.0,0.0,0.0,0.33,1.33,0.33,1.67,0.33,0.0,0.0,Matches,33c1d68d,MF
696,Amadou Onana,MF,Belgium,24,2001,1.2,0.0,0.0,0.0,0.83,2.5,0.0,0.0,1.67,1.67,0.0,Matches,828657ff,MF
697,Christopher Opéri,DF,Côte d'Ivoire,29,1997,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,Matches,914bb955,DF
698,Jerome Opoku,DF,Ghana,27,1998,3.0,0.0,0.0,0.0,0.67,1.33,0.0,0.0,0.33,0.67,0.0,Matches,091d6ee5,DF
699,Joel Ordóñez,DF,Ecuador,22,2004,2.5,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.4,2.0,0.0,Matches,2990a15c,DF
701,Nicolás Otamendi,DF,Argentina,38,1988,2.7,0.0,0.0,0.0,1.48,1.48,0.37,0.0,2.22,0.74,0.0,Matches,0d267745,DF
703,Ayoub Al-Oui,DF,Qatar,21,2005,1.7,0.0,0.0,0.0,0.59,0.0,0.0,0.0,1.18,0.0,0.0,Matches,010e5bae,DF
